id;name;label_short;type;status;open_year;open_window;open_year_original;budget_mdkk;agency;parent_id;source_url;source_doc;kommuner_override;geometry_source;map;notes
hilleroedmotorvejen-forlaengelse;Udvidelse af Hillerødmotorvejens forlængelse til motorvej;Hillerødmv.;road;construction;2027;;;1614.7;Vejdirektoratet;;https://www.vejdirektoratet.dk/;Anlægsstatus 1H 2026 p. 34;;fingerplan:fp19vp_motorvejanlaeg_udv:kode=12;true;Geometry is the Fingerplan reservation Allerød–Hillerød (identified by location). Report: total expenditure not expected to hold.
oestlig-ringvej;Østlig Ringvej (harbour tunnel, København);Østlig Ringvej;road;study;;;;;Vejdirektoratet / Københavns Kommune;;https://www.vejdirektoratet.dk/;Anlægsstatus 1H 2026 p. 36 (Nordhavnstunnel prepared for it);;fingerplan:fp19vp_igangvaerende_undersoeg:navn_spec=Østlig Ringvej;true;"Under study; Fingerplan 2019 marks the corridor as an ongoing investigation."
hh-forbindelsen;HH-forbindelsen (Helsingør–Helsingborg);HH-forbindelsen;bridge_tunnel;study;;;;;under study (DK/SE);;https://www.trm.dk/;;;fingerplan:fp19vp_igangvaerende_undersoeg:navn_spec=Helsingør og Helsingborg (HH-forbindelse);true;"Under study; no budget or opening year published."
kattegatforbindelsen;Kattegatforbindelsen (Jylland–Sjælland);Kattegat;bridge_tunnel;study;;;;;under study;;https://www.trm.dk/;;;manual:wkt:LINESTRING(11.0900 55.6800, 10.8700 55.7500, 10.6200 55.8300, 10.4200 55.8800, 10.2500 55.9200);true;schematic corridor — not an official alignment. Kalundborg (Røsnæs) – Samsø – Hou/Odder, drawn to show the corridor under study. No alignment has been published.
aarhus-letbane-etape2;Aarhus Letbane etape 2 (Brabrand);Letbane etape 2;letbane;study;2037;;;;Aarhus Letbane / Aarhus Kommune;;https://www.aarhusletbane.dk/;;;manual:wkt:LINESTRING(10.2045 56.1499, 10.1780 56.1520, 10.1450 56.1540, 10.1180 56.1560);true;"schematic corridor — not an official alignment. Aarhus H along Silkeborgvej to Brabrand/Gellerup. Decision expected 2027–28, opening 2037 per Aarhus Letbane; not in Anlægsstatus 1H 2026 and no alignment in OpenStreetMap."
tredje-limfjordsforbindelse;Tredje Limfjordsforbindelse ved Aalborg;3. Limfjordsforb.;road;construction;2034;;;8869.7;Vejdirektoratet;;https://www.vejdirektoratet.dk/;Anlægsstatus 1H 2026 p. 34;;"osm:way[""highway""=""construction""](56.98,9.75,57.14,10.00)";true;Largest road project in the report by budget.
marselis-tunnel;Ny tunnel under Marselis Boulevard, Aarhus;Marselis-tunnel;road;construction;2035;;;4139.7;Vejdirektoratet;;https://www.vejdirektoratet.dk/;Anlægsstatus 1H 2026 p. 35;;"osm:way[""name""=""Marselis Boulevard""](56.13,10.17,56.16,10.23)";true;Geometry indicative: the existing boulevard the tunnel follows.
e45-vejle-skanderborg;Udbygning af E45, Vejle (Hornstrup) – Skanderborg S;E45 Vejle–Skb;road;construction;2027;;;4416.4;Vejdirektoratet;;https://www.vejdirektoratet.dk/;Anlægsstatus 1H 2026 p. 34;;"osm:way[""ref""~""E ?45""][""highway""=""motorway""](55.78,9.55,56.02,9.92)";true;"Geometry indicative: the E45 carriageways in the section being widened (OSM tags the route ref as ""E 45"")."
e45-aarhus-s-n;Udbygning af E45, Aarhus S – Aarhus N;E45 Aarhus S–N;road;construction;2027;;;2655.4;Vejdirektoratet;;https://www.vejdirektoratet.dk/;Anlægsstatus 1H 2026 p. 34;;"osm:way[""ref""~""E ?45""][""highway""=""motorway""](56.06,10.02,56.24,10.24)";true;"Geometry indicative: the E45 carriageways in the section being widened (OSM tags the route ref as ""E 45"")."
amagermotorvejen;Udvidelse af Amagermotorvejen;Amagermotorvejen;road;construction;2029;;;1964.2;Vejdirektoratet;;https://www.vejdirektoratet.dk/;Anlægsstatus 1H 2026 p. 34;;fingerplan:fp19vp_motorvejanlaeg_udv:kode=25;true;"Geometry is the Fingerplan ""ongoing investigation of motorway widening"" on Amager (identified by location)."
signalprogrammet;Signalprogrammet (new signalling, whole network);Signalprogrammet;rail;construction;2033;;2022;24584.8;Banedanmark;;https://www.bane.dk/signalprogrammet;Anlægsstatus 1H 2026 p. 9, 10;;manual:wkt:LINESTRING(12.5650 55.6730, 11.7900 55.4400, 10.3900 55.3950, 9.7500 55.5600, 10.2045 56.1499, 9.9200 57.0400);false;"schematic corridor — not an official alignment. Nationwide programme with no single alignment; the line sketches the main line København – Odense – Fredericia – Aarhus – Aalborg only so the project is visible on a map. Largest project in the report by budget; report gives ""2022/2033""."
kalundborgmotorvejen-3;Kalundborgmotorvejens 3. etape;Kalundborgmv. 3;road;construction;2028;;;3466.1;Vejdirektoratet;;https://www.vejdirektoratet.dk/;Anlægsstatus 1H 2026 p. 34;;"osm:way[""highway""=""construction""](55.60,11.20,55.75,11.60)";true;Report: total expenditure not expected to hold.
nyt-hospital-nordsjaelland;Nyt Hospital Nordsjælland (Favrholm, Hillerød);NHN Hillerød;hospital;construction;2027;;;7992;Region Hovedstaden;;https://edagsorden.regionh.dk/cms/HtmlPublication-10430/HtmlPublication-10430.html;Region Hovedstaden, regionsrådsmøde 15.09.2026, bilag 1 kvartalsrapportering 2. kvartal 2026 (opening) · kvartalsrapport 3. kvartal 2025 (styrende budget) — fetched 2026-09-23;;"osm:nwr[""railway""=""station""][""name""=""Favrholm""](55.89,12.29,55.93,12.34)";true;"81 % complete at 30 June 2026; the report prints 'ultimo sep. 2027' for the first patient but also says NCC has warned of a further delay not yet reflected in the schedule. Budget is the last published styrende budget, 7,992 mio. kr. (PL25E2, = 5,618 mio. kr. in PL09); a merbehov of 3,148 mio. kr. was approved 16 June 2026 and the resulting total is not published. The point marks Favrholm station beside the new hospital — the site itself is not in OpenStreetMap."
nyt-ouh;Nyt OUH (Odense Universitetshospital);Nyt OUH;hospital;construction;2027;;;8200;Region Syddanmark;;https://regionsyddanmark.dk/media/qlilc0mi/årsrapport-2025-ledelses-og-regnskabsberetning.pdf;Region Syddanmark, Årsrapport og ledelsesberetning 2025, s. 9 — fetched 2026-09-23;;"osm:nwr[""name""~""Hospitalsringen|Søndre Hospitalsvej""](55.32,10.35,55.40,10.48)";true;"Handed over successively from July 2026 to February 2027, driftsstart ultimo 2027. The frame is 'lidt mere end 8,2 mia. kr.' after the ministry added 454 mio. kr. in March 2023; the price level is not published. A further 1,528 mio. kr. frame expansion has been requested and its approval is not published, so it is not added here."
nyt-aalborg-universitetshospital;Nyt Aalborg Universitetshospital (Hospitalsbyen, Gistrup);Nyt Aalborg UH;hospital;opened;2026;;;7000;Region Nordjylland;;https://byghospitalsbyen.rn.dk/Om-Hospitalsbyen/Indvielse;Region Nordjylland, byghospitalsbyen.rn.dk 'Indvielse' — fetched 2026-09-23;;"osm:nwr[""name""~""Nyt Aalborg Universitetshospital""](56.96,9.95,57.06,10.06)";true;"Officially inaugurated 12 May 2026, first patients early 2026; relocations continue through 2026 and Aalborg UH Syd stays in use for years. Budget ca. 7,000 mio. kr. anlægsramme with no price level stated; the kvalitetsfond grant was 4,100 mio. kr. (PL09)."
nyt-hospital-bispebjerg;Nyt Hospital Bispebjerg (Akuthuset);Nyt Hosp. Bispebjerg;hospital;construction;;2030–2032;;3533;Region Hovedstaden;;https://edagsorden.regionh.dk/cms/HtmlPublication-10430/HtmlPublication-10430.html;Region Hovedstaden, ordinært regionsrådsmøde 15.09.2026, pkt. 4 Nyt Hospital Bispebjerg — fetched 2026-09-23;;"osm:nwr[""amenity""=""hospital""][""name""=""Bispebjerg Hospital""](55.70,12.52,55.73,12.56)";true;"No opening year recorded: the region states a 2030–2032 window for the whole project, with the Akuthus handed over in two stages about two years apart. Budget is the approved styrende budget of 3,533 mio. kr. (09PL); a further ~1,750 mio. kr. (2026 prices) is a preliminary estimate and the consolidated budget is expected in 2027. Rebuilt in stages after the total contract was terminated in March 2024."
ny-psykiatri-bispebjerg;Ny Psykiatri Bispebjerg;Ny Psykiatri Bispebjerg;hospital;opened;2026;;;;Region Hovedstaden;;https://edagsorden.regionh.dk/cms/HtmlPublication-10416/HtmlPublication-10416.html;Region Hovedstaden, ordinært regionsrådsmøde 07.04.2026 — fetched 2026-09-23;;"osm:nwr[""amenity""=""hospital""][""name""=""Bispebjerg Hospital""](55.70,12.52,55.73,12.56)";true;Inaugurated 20 March 2026 and in use from 15 April 2026. Not a kvalitetsfond project and no budget is published in the source read. The point marks Bispebjerg Hospital, the site it is built on.
plusbus-aalborg;Aalborg Plusbus (BRT, bybuslinje 2);Plusbus;brt;opened;;;;510;Aalborg Kommune / Nordjyllands Trafikselskab;;https://www.moviatrafik.dk/media/l5ufej41/brt-katalog-seks-projekter-paa-tvaers-af-danmark-final-a.pdf;Movia, 'BRT-katalog: Seks BRT-projekter på tværs af Danmark', januar 2021 — fetched 2026-09-23;;manual:wkt:LINESTRING(9.8850 57.0460, 9.9217 57.0488, 9.9500 57.0350, 9.9870 57.0140, 9.9996 57.0107);true;schematic corridor — not an official alignment. Væddeløbsbanen – midtbyen – universitetsområdet – Nyt Aalborg Universitetshospital, 12 km and 22 stations, running as bybuslinje 2. Opening year left empty on purpose: Aalborg Kommune's and NT's Plusbus pages now return 404 after their site moves, and the September 2023 opening date appears only in press. Budget 510 mio. kr. anlægsudgifter (Movia catalogue, 2020 prices).
brt-400s-ring4;BRT linje 400S, Ring 4 (Ishøj – Lyngby);BRT 400S;brt;study;;;;950;Vejdirektoratet;;https://www.vejdirektoratet.dk/projekt/brt-paa-linje-400s-i-ring-4-korridoren;Vejdirektoratet, 'BRT på linje 400S i Ring 4-korridoren' — fetched 2026-09-23;;manual:wkt:LINESTRING(12.3520 55.6170, 12.3640 55.6570, 12.3630 55.7310, 12.5050 55.7700);true;schematic corridor — not an official alignment. Ishøj St. – Ring 4 – Lyngby St., 33 km. The environmental assessment finished in autumn 2025 and the hearing closed 5 December 2025, but scope, financing and organisation between the state, municipalities, Region Hovedstaden and Movia are unresolved, so there is no opening year. The 950 mio. kr. is the state funding frame (2021 prices) including 50 % state co-financing, not an adopted project budget.
brt-200s;BRT linje 200S (Avedøre Holme – Gladsaxe);BRT 200S;brt;study;;;;;Vejdirektoratet / Movia;;https://www.vejdirektoratet.dk/vejprojekter/bus-rapid-transit-brt-200s;Vejdirektoratet, 'Bus Rapid Transit (BRT) 200S' — fetched 2026-09-23;;manual:wkt:LINESTRING(12.4700 55.6200, 12.4750 55.6520, 12.4540 55.6810, 12.4750 55.7100, 12.4870 55.7330);true;"schematic corridor — not an official alignment. Avedøre Holme – Hvidovre Hospital – Rødovre Centrum – Husum Torv – Gladsaxe Trafikplads, 18,9 km. A preparatory analysis ran 2022–2025 and nothing has been decided; no budget or opening year is published (Movia's 2021 catalogue estimate of 1,05 mia. kr. is an estimate, not an adopted budget)."
brt-ringvejen-aarhus;BRT på Ringvejen, Aarhus (Oddervej – Risskov);BRT Ringvejen;brt;study;;;;;Aarhus Kommune;;https://aarhus.dk/media/4wmlyexi/aftale-om-groen-mobilitetsplan_070824.pdf;Aarhus Kommune, 'Aftale om grøn mobilitetsplan', 7. august 2024 — fetched 2026-09-23;;manual:wkt:LINESTRING(10.2040 56.1030, 10.1600 56.1300, 10.1700 56.1650, 10.2100 56.1900);true;schematic corridor — not an official alignment. Ringvejen from Oddervej in the south to Risskov in the north, ca. 10 km. The 2024 mobility agreement keeps the corridor in planning and sets aside 294,8 mio. kr. of savings for 2024–2034, but the final investment decision is taken in 2028 and depends on the passenger basis, so neither a budget nor an opening year is recorded.
brt-frederikssundsvej;BRT/letbane Frederikssundsvej (Nørrebro St. – Gladsaxe);Frederikssundsvej;brt;study;;;;;Københavns Kommune / Gladsaxe Kommune;;https://www.kk.dk/dagsordener-og-referater/Økonomiudvalget/møde-22012025/referat/punkt-7;Københavns Kommune, Økonomiudvalget 22.01.2025, punkt 7 'Undersøgelse af BRT/letbane på Frederikssundsvej' — fetched 2026-09-23;;manual:wkt:LINESTRING(12.5370 55.7020, 12.5150 55.7080, 12.4900 55.7120, 12.4870 55.7330);true;schematic corridor — not an official alignment. Nørrebro St. – Frederikssundsvej – Tingbjerg – Gladsaxe Trafikplads. Not decided and not even being studied: Økonomiudvalget rejected the proposal to study BRT alone on 22 January 2025 by 1 vote to 11, and the state's contribution to a study is undecided. Only study money is set aside (7,5 mio. kr. from København, 1 mio. kr. from Gladsaxe), so there is no budget or opening year.
universitetsbyen-aarhus;Universitetsbyen, Aarhus (former Kommunehospital);Universitetsbyen;university;opened;2026;;;;FEAS (Aarhus Universitet as tenant);;https://www.au.dk/om/campusudvikling/udviklings-og-byggeprojekter-i-aarhus;Aarhus Universitet, 'Udviklings- og byggeprojekter i Aarhus' — fetched 2026-09-23;;"osm:nwr[""name""=""Universitetsbyen""](56.15,10.19,56.18,10.22)";true;"The former Kommunehospital site turned into campus; the opening was officially marked over two days in May 2026. No budget is published by AU."
universitetsbyen-arts;Universitetsbyen Syd — Faculty of Arts (Aarhus);Universitetsbyen Syd;university;study;;2028–2031;;;FEAS / Aarhus Universitet;;https://www.au.dk/om/campusudvikling/udviklings-og-byggeprojekter-i-aarhus;Aarhus Universitet, 'Udviklings- og byggeprojekter i Aarhus' — fetched 2026-09-23;;"osm:nwr[""name""=""Universitetsbyen""](56.15,10.19,56.18,10.22)";true;In design, with no construction start published. No opening year recorded because two official AU pages disagree: au.dk says phased move-in 2029–2031, medarbejdere.au.dk says 2028–2030. Same site as Universitetsbyen, so the point is shared.
dtu-bygning-330;DTU Bygning 330 — new DTU Space research building;DTU Bygning 330;university;construction;2028;;;;Danmarks Tekniske Universitet;;https://campusudvikling.dtu.dk/projekter/dtu-space-nye-bygning;DTU, 'DTU Space nye bygning' / 'Ny forskningsbygning 330 til DTU Space' — fetched 2026-09-23;;"osm:nwr[""name""=""DTU Space""](55.77,12.50,55.79,12.53)";true;Groundbreaking 18 February 2026, ready for use medio 2028, ca. 8,200 m² over five floors. Budget not published. The point marks DTU Space, beside which building 330 is going up (Elektrovej, 3. kvadrant).
ruc-pergola;RUC Pergola (Roskilde Universitet);RUC Pergola;public_building;construction;2026;;;430;Bygningsstyrelsen;;https://bygst.dk/byggeri/projekter/ruc-pergola/;Bygningsstyrelsen, 'RUC, Pergola' — fetched 2026-09-23;;"osm:nwr[""amenity""=""university""][""name""~""Roskilde Universitet""](55.63,12.11,55.67,12.17)";true;Transformation and renovation of five buildings plus two link buildings and three bridges, 8,705 m². First stage handed over 16 December 2025, in use 2026. The only ongoing Bygningsstyrelsen project with a published budget.
fremtidens-folketing;Fremtidens Folketing (Rigsarkivet, Slotsholmen);Fremtidens Folketing;public_building;decided;;;;;Bygningsstyrelsen (for Folketinget);;https://bygst.dk/byggeri/projekter/fremtidens-folketing/;Bygningsstyrelsen, 'Fremtidens Folketing' — fetched 2026-09-23;;"osm:nwr[""name""=""Rigsarkivet""](55.670,12.575,55.680,12.590)";true;"10,000–12,000 m² in the former Rigsarkiv buildings on Slotsholmen; Cobe won the competition in March 2024, but the project was put on hold ('sat i bero') on 30 January 2025. Neither a budget nor a completion year is published."
regionshospitalet-goedstrup;Regionshospitalet Gødstrup (DNV);Gødstrup;hospital;opened;2022;;;3150;Region Midtjylland;;https://www.fagperson.regionshospitalet-goedstrup.dk/om-os/fra-beslutning-og-spadestik-til-indflytning/tidslinje-2007---2022/;Region Midtjylland, Regionshospitalet Gødstrup, 'Tidslinje for tilblivelsen af hospitalet 2007-2022' — fetched 2026-09-23;;"osm:nwr[""amenity""=""hospital""][""name""~""Gødstrup""](56.06,8.82,56.22,9.08)";true;"Landmark kvalitetsfond hospital, kept although it is finished. Patients moved in February–March 2022 and the hospital was inaugurated 22 April 2022. The project is closed and accounted for — Region Midtjylland's 2023 note says the accounts closed in 2023, its 2025 note says 2024. Budget 3,150 mio. kr. from the kvalitetsfond; price level not stated on the source page. The psychiatry building (381,1 mio. kr.) was financed by the region outside the grant."
auh-skejby;Aarhus Universitetshospital, Skejby (DNU);AUH Skejby;hospital;opened;2019;;;6350;Region Midtjylland;;https://godtsygehusbyggeri.dk/services/nyheder/2020/oktober/solceller-fuldender-nybyggeri-paa-auh;Godt Sygehusbyggeri, 'Solceller fuldender nybyggeri på AUH' — fetched 2026-09-23;;"osm:nwr[""amenity""=""hospital""][""name""~""Aarhus Universitetshospital""](56.16,10.12,56.24,10.26)";true;"Landmark kvalitetsfond hospital, kept although it is finished. Denmark's largest hospital build: inaugurated February 2017, relocations completed on time in 2019, the last sub-project (Forum) finished 2023 and the kvalitetsfond accounts closed in 2024. Budget 6,350 mio. kr. as published ('Budgettet på 6,35 mia. kr. er overholdt'); price level not stated."
