Hovedinstitution;Institutionsnummer;Institutionsnavn;Enhedsart;Adresse;Postnummer;Postdistrikt;Vejkode;Beliggenhedskommune;Beliggenhedsregion;Geokode: Breddegrad;Geokode: Længdegrad;Institutionsleder;Telefonnummer;E-mail adresse;Webadresse;Institutionstype, nr;Institutionstype, navn;Undervisningsniveau;Ressortministerium;CVR-nummer;P-nummer;Ejerkode, nr;Ejerkode, navn;Administrativ kommune;Aktivkode, nr;Aktivkode, navn;Ajourdato;Oprettelsesmåned;Nedlæggelsesdato
;101069;Oehlenschlægersgades Skole;Institution uden enheder;Oehlenschlægersgade 57;1663;København V;5240;Københavns Kommune;Region Hovedstaden;55.66759755;12.55032319;Signe Arnholt Haugaard;3366 8520;oeh@kk.dk;oeh.aula.dk;1012;Folkeskoler;9;Børne- og Undervisningsministeriet;64942212;1024403412;2;Kommunale;Københavns Kommune;1;Aktiv tællingsmæssigt for Danmarks Statistik;17/08/2026;;
;101070;Hanssted Skole;Institution uden enheder;Rødbyvej 2;2500;Valby;6080;Københavns Kommune;Region Hovedstaden;55.66665309;12.48632102;Trine Krause Larsen;8256 2560;hanssted@kk.dk;hanssted.aula.dk;1012;Folkeskoler;9;Børne- og Undervisningsministeriet;64942212;1003255242;2;Kommunale;Københavns Kommune;1;Aktiv tællingsmæssigt for Danmarks Statistik;01/03/2024;195508;
;101074;Valby Skole;Institution uden enheder;Ved Ovnhallen 6;2500;Valby;8087;Københavns Kommune;Region Hovedstaden;55.66515349;12.50910807;Lise Wenzel Andersen;8232 4444;Valbyskole@kk.dk;valbyskole.aula.dk;1012;Folkeskoler;9;Børne- og Undervisningsministeriet;64942212;1003255047;2;Kommunale;Københavns Kommune;1;Aktiv tællingsmæssigt for Danmarks Statistik;21/03/2022;;
;101075;Vigerslev Allés Skole;Institution uden enheder;Vigerslev Allé 108;2500;Valby;8308;Københavns Kommune;Region Hovedstaden;55.6614523;12.50808956;Kaspar Hviid;3317 4800;vas@kk.dk;vas.aula.dk;1012;Folkeskoler;9;Børne- og Undervisningsministeriet;64942212;1003256523;2;Kommunale;Københavns Kommune;1;Aktiv tællingsmæssigt for Danmarks Statistik;02/09/2026;191004;
;101076;Ålholm Skole;Institution uden enheder;Vibeholmen 1;2500;Valby;8276;Københavns Kommune;Region Hovedstaden;55.67008777;12.49505641;Thomas Damgaard;3317 2636;aalholmskole@kk.dk;aalholmskole.aula.dk;1012;Folkeskoler;9;Børne- og Undervisningsministeriet;64942212;1003256493;2;Kommunale;Københavns Kommune;1;Aktiv tællingsmæssigt for Danmarks Statistik;17/12/2024;193408;
;101078;Carolineskolen;Institution uden enheder;Strandvejen 93;2100;København Ø;7004;Københavns Kommune;Region Hovedstaden;55.72209125;12.57645038;Uri Krivaa;3929 9500;carolineskolen@carolineskolen.dk;www.carolineskolen.dk;1013;Friskoler og private grundskoler;9;Børne- og Undervisningsministeriet;60656215;1002118515;5;Selvejende, private;;1;Aktiv tællingsmæssigt for Danmarks Statistik;16/02/2026;181001;
;101079;Christianshavns Døttreskole;Institution uden enheder;Dronningensgade 67;1420;København K;1352;Københavns Kommune;Region Hovedstaden;55.67328268;12.59389224;Mette Bitsch Johansen;3257 4553;info@cd1799.dk;www.doettreskole.dk;1013;Friskoler og private grundskoler;9;Børne- og Undervisningsministeriet;53289916;1002003079;5;Selvejende, private;;1;Aktiv tællingsmæssigt for Danmarks Statistik;16/11/2023;179908;
;101080;Det Kgl Vajsenhus Skole;Institution uden enheder;Nørre Farimagsgade 51;1364;København K;5200;Københavns Kommune;Region Hovedstaden;55.68397457;12.56678412;Henrik Schmidt Miller;3393 0326;kontor@vajsenhuset.dk;vajsenhuset.dk;1013;Friskoler og private grundskoler;9;Børne- og Undervisningsministeriet;10362911;1000064075;5;Selvejende, private;;1;Aktiv tællingsmæssigt for Danmarks Statistik;24/08/2026;172710;
;101081;Institut Sankt Joseph;Institution uden enheder;Dag Hammarskjölds Allé 17;2100;København Ø;1204;Københavns Kommune;Region Hovedstaden;55.69419204;12.58230666;Isabel Let Jensen;3538 4735;ledelse@sanktjoseph.dk;www.sanktjoseph.dk;1013;Friskoler og private grundskoler;10;Børne- og Undervisningsministeriet;11962815;1000306679;5;Selvejende, private;;1;Aktiv tællingsmæssigt for Danmarks Statistik;06/10/2022;185801;
;101082;Sankt Ansgars Skole;Institution uden enheder;Nørrebrogade 27;2200;København N;5192;Københavns Kommune;Region Hovedstaden;55.68824407;12.55935209;Malene Funch Sørensen;3539 4646;sekretaer@ansgarsskole.dk;www.sanktansgarsskole.dk;1013;Friskoler og private grundskoler;9;Børne- og Undervisningsministeriet;55809712;1002039768;5;Selvejende, private;;1;Aktiv tællingsmæssigt for Danmarks Statistik;25/09/2023;196904;
;101083;Krebs' Skole;Institution uden enheder;Stockholmsgade 5;2100;København Ø;6920;Københavns Kommune;Region Hovedstaden;55.68979065;12.57559572;Mikael Fink-Jensen;3525 3939;krebs@krebs-skole.dk;www.krebs-skole.dk;1013;Friskoler og private grundskoler;9;Børne- og Undervisningsministeriet;55730016;1002038475;5;Selvejende, private;;1;Aktiv tællingsmæssigt for Danmarks Statistik;08/11/2019;187201;
;101084;Sankt Annæ Skole;Institution uden enheder;Otto Ruds Vej 7;2300;København S;5344;Københavns Kommune;Region Hovedstaden;55.65383288;12.60714132;Søren Blinkenberg;3258 0535;info@sktannaeskole.dk;www.sanktannaeskole.dk;1013;Friskoler og private grundskoler;10;Børne- og Undervisningsministeriet;53009719;1001998693;5;Selvejende, private;;1;Aktiv tællingsmæssigt for Danmarks Statistik;08/11/2019;189701;
;101086;Bordings Friskole;Institution uden enheder;Øster Søgade 86;2100;København Ø;8608;Københavns Kommune;Region Hovedstaden;55.69417373;12.57632215;Torsten Bo Kristensen;3538 6908;kontor@bordings.dk;www.bordings.dk;1013;Friskoler og private grundskoler;9;Børne- og Undervisningsministeriet;23176610;1001556930;5;Selvejende, private;;1;Aktiv tællingsmæssigt for Danmarks Statistik;16/08/2018;194504;
;101087;Den Lille Skole i København;Institution uden enheder;Lindholmsvej 18;2700;Brønshøj;4348;Københavns Kommune;Region Hovedstaden;55.699091;12.48694831;Martin Banghøj Blom;3860 1616;lilleskolen-kbh@lilleskolen-kbh.dk;www.lilleskolen-kbh.dk;1013;Friskoler og private grundskoler;6;Børne- og Undervisningsministeriet;27400019;1001613097;5;Selvejende, private;;1;Aktiv tællingsmæssigt for Danmarks Statistik;13/03/2023;196805;
;101088;N. Zahles Seminarieskole;Institution uden enheder;Linnésgade 8;1361;København K;4352;Københavns Kommune;Region Hovedstaden;55.68272301;12.56925596;Morten Juhlin Svendgaard;3369 7942;seminarieskolen@zahles.dk;zahles.dk;1013;Friskoler og private grundskoler;9;Børne- og Undervisningsministeriet;62513217;1003419220;5;Selvejende, private;;1;Aktiv tællingsmæssigt for Danmarks Statistik;27/04/2026;185105;
;101089;Sankt Petri Skole;Institution uden enheder;Larslejsstræde 5;1451;København K;4180;Københavns Kommune;Region Hovedstaden;55.67973825;12.5696339;Hr. Jürgen Sacht, konst.;3313 0462;kontor@adm.sanktpetriskole.dk;www.sanktpetriskole.dk;1013;Friskoler og private grundskoler;9;Børne- og Undervisningsministeriet;10195616;1000034010;5;Selvejende, private;;1;Aktiv tællingsmæssigt for Danmarks Statistik;10/08/2026;157501;
;101090;Østerbro Lilleskole;Institution uden enheder;Sionsgade 5a;2100;København Ø;6396;Københavns Kommune;Region Hovedstaden;55.71105642;12.57992006;Gitte Mathiasen;3929 7114;post@osterbrolilleskole.dk;www.oesterbrolilleskole.dk;1013;Friskoler og private grundskoler;9;Børne- og Undervisningsministeriet;28889615;1001637832;5;Selvejende, private;;1;Aktiv tællingsmæssigt for Danmarks Statistik;09/12/2020;197008;
;101091;Hovedstadens Privatskoler, Filipskolen;Institution uden enheder;Amager Strandvej 124A;2300;København S;0120;Københavns Kommune;Region Hovedstaden;55.6594861;12.63358988;Kezia Camilla Bidstrup;3255 4711;post@filipskolen-kbh.dk;www.filipskolen-kbh.dk;1013;Friskoler og private grundskoler;9;Børne- og Undervisningsministeriet;65038617;1002200256;5;Selvejende, private;;1;Aktiv tællingsmæssigt for Danmarks Statistik;29/11/2022;197308;
;101092;Amager Lilleskole;Institution uden enheder;Rodosvej 47;2300;København S;5896;Københavns Kommune;Region Hovedstaden;55.65132448;12.6173567;Sanne Wiedemann;2349 1303;info@amagerlilleskole.dk;www.amagerlilleskole.dk;1013;Friskoler og private grundskoler;9;Børne- og Undervisningsministeriet;22229516;1001544295;5;Selvejende, private;;1;Aktiv tællingsmæssigt for Danmarks Statistik;17/11/2025;196808;
;101093;Skolen i Charlottegården;Institution uden enheder;Frederikssundsvej 77;2400;København NV;1964;Københavns Kommune;Region Hovedstaden;55.70459282;12.52582065;Heidi Hviid;3530 3130;cha@kk.dk;cha.aula.dk;1015;Specialskoler for børn;10;Børne- og Undervisningsministeriet;64942212;1003254726;2;Kommunale;Københavns Kommune;1;Aktiv tællingsmæssigt for Danmarks Statistik;21/03/2022;197204;
;101094;Frederiksgård Skole;Institution uden enheder;Ørholmgade 8;2200;København N;8556;Københavns Kommune;Region Hovedstaden;55.69647303;12.53909587;Morten Leer;3530 5650;frg@kk.dk;frg.aula.dk;1015;Specialskoler for børn;10;Børne- og Undervisningsministeriet;64942212;1003252450;2;Kommunale;Københavns Kommune;1;Aktiv tællingsmæssigt for Danmarks Statistik;14/03/2022;193909;
;101098;Engskolen;Institution uden enheder;Haderslevgade 6;1671;København V;2508;Københavns Kommune;Region Hovedstaden;55.66830253;12.54556806;Lonnie Skytte Bechmann;8256 2500;engskolen@kk.dk;engskolen.aula.dk;1015;Specialskoler for børn;10;Børne- og Undervisningsministeriet;64942212;1003252905;2;Kommunale;Københavns Kommune;1;Aktiv tællingsmæssigt for Danmarks Statistik;21/04/2022;;
;101108;Nørrebro Gymnasium;Institution uden enheder;Titangade 13A;2200;København N;7484;Københavns Kommune;Region Hovedstaden;55.70484565;12.55339841;Katrine Juul;3583 1826;nbgym@nbgym.dk;www.nbgym.dk;1062;Private gymnasier og HF-kurser;;Børne- og Undervisningsministeriet;63717711;1002175665;5;Selvejende, private;;1;Aktiv tællingsmæssigt for Danmarks Statistik;18/04/2023;194808;
;101111;Byens Skole;Institution uden enheder;Høffdingsvej 75;2500;Valby;3172;Københavns Kommune;Region Hovedstaden;55.65810721;12.50588784;Morten May;3616 7746;byens@byensskole.dk;www.byens-skole.dk;1013;Friskoler og private grundskoler;10;Børne- og Undervisningsministeriet;33351313;1001703611;5;Selvejende, private;;1;Aktiv tællingsmæssigt for Danmarks Statistik;22/06/2020;197108;
;101115;Rysensteen Gymnasium;Institution uden enheder;Tietgensgade 74;1704;København V;7444;Københavns Kommune;Region Hovedstaden;55.67016706;12.56346657;Gitte Harding Transbøl;3324 4311;mail@rysensteen.dk;www.rysensteen.dk;1061;Gymnasier og HF-kurser;;Børne- og Undervisningsministeriet;29542708;1003256158;4;Selvejende, statslige;;1;Aktiv tællingsmæssigt for Danmarks Statistik;20/11/2019;200701;
;101117;Sankt Annæ Gymnasium;Institution uden enheder;Sjælør Boulevard 135;2500;Valby;6412;Københavns Kommune;Region Hovedstaden;55.6560852;12.52584515;Anette Holst;3646 6222;sag@kk.dk;www.sag.dk;1061;Gymnasier og HF-kurser;;Børne- og Undervisningsministeriet;64942212;1003255515;2;Kommunale;Københavns Kommune;1;Aktiv tællingsmæssigt for Danmarks Statistik;24/08/2018;195308;
;101118;Christianshavns Gymnasium;Institution uden enheder;Prinsessegade 35;1422;København K;5612;Københavns Kommune;Region Hovedstaden;55.67324333;12.59545208;Troels Vang Andersen;4329 0300;cg@cg-gym.dk;www.cg-gym.dk;1061;Gymnasier og HF-kurser;;Børne- og Undervisningsministeriet;29546010;1003254738;4;Selvejende, statslige;;1;Aktiv tællingsmæssigt for Danmarks Statistik;20/11/2019;200701;
